queue_id,queue_row_id,queue_stage,source_bucket,campaign_id,pair_id,image_id,duplicate_group_id,feature_snapshot_id,layout_spec_id,image_path,resolved_path,category,source_group,place_name,subject_name,diagnostic_model_score,clip_margin,clip_positive_max_sim,clip_negative_max_sim,clip_rank_percentile,required_region_safe_mean,required_region_safe_min,title_region_safe_score,info_region_safe_score,dinov2_cluster_id_coarse,dinov2_cluster_id_mid,dinov2_cluster_id_fine,preview_path,decision,issue_tags,preference_rank,notes,image_category_gallery,image_category_tree,image_category_flower,image_category_course,path_has_architecture,path_has_garden
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0001,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_34da4bc897__layout_top_left_bottom_left,raw_34da4bc897,dup_exact_38106b9781dd,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_34da4bc897,layout_top_left_bottom_left,gallery/건축/몽몽미방/space7_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_1_1.jpg,gallery,건축,몽몽미방,,,0.058267101645469666,0.2642468214035034,0.20597971975803375,0.8292682766914368,0.4731707317073171,0.029268292682926828,0.029268292682926828,0.9170731707317074,coarse_20_0004,mid_100_0064,fine_182_0080,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0002,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_22d63fd86a__layout_top_left_bottom_left,raw_22d63fd86a,dup_exact_c90c21a044aa,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_22d63fd86a,layout_top_left_bottom_left,gallery/건축/유원/space5_3_2.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/space5_3_2.jpg,gallery,건축,유원,,,0.05714432895183563,0.2903265058994293,0.2331821769475937,0.995121955871582,0.06341463414634146,0.05365853658536585,0.07317073170731707,0.05365853658536585,coarse_20_0015,mid_100_0004,fine_182_0063,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0003,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_39a0295efc__layout_top_left_bottom_left,raw_39a0295efc,dup_exact_781f043e9a4b,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_39a0295efc,layout_top_left_bottom_left,gallery/정원/유원/space5_1_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/유원/space5_1_1.jpg,gallery,정원,유원,,,0.053863272070884705,0.2817600667476654,0.2278967946767807,0.9902439117431641,0.1975609756097561,0.15609756097560976,0.23902439024390243,0.15609756097560976,coarse_20_0015,mid_100_0051,fine_182_0176,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0004,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_e72560847a__layout_top_left_bottom_left,raw_e72560847a,dup_exact_f96ee125e356,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_e72560847a,layout_top_left_bottom_left,gallery/건축/유원/유원.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/유원.jpg,gallery,건축,유원,,,0.050597578287124634,0.27867960929870605,0.22808203101158142,0.9707317352294922,0.24878048780487805,0.24390243902439024,0.25365853658536586,0.24390243902439024,coarse_20_0015,mid_100_0051,fine_182_0155,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0005,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_a2c7f6c5ab__layout_top_left_bottom_left,raw_a2c7f6c5ab,dup_exact_162d9732686f,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_a2c7f6c5ab,layout_top_left_bottom_left,gallery/건축/현암/space1_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/현암/space1_4_1.jpg,gallery,건축,현암,,,0.049765005707740784,0.27735501527786255,0.22759000957012177,0.9658536314964294,0.5097560975609756,0.36585365853658536,0.6536585365853659,0.36585365853658536,coarse_20_0009,mid_100_0002,fine_182_0125,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0006,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_50d3d9c9da__layout_top_left_bottom_left,raw_50d3d9c9da,dup_exact_c0ae56ade264,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_50d3d9c9da,layout_top_left_bottom_left,gallery/정원/풍설기천년/space2_4_4.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/정원/풍설기천년/space2_4_4.jpg,gallery,정원,풍설기천년,,,0.04823172092437744,0.27139341831207275,0.2231616973876953,0.9073171019554138,0.29024390243902437,0.08780487804878048,0.4926829268292683,0.08780487804878048,coarse_20_0014,mid_100_0083,fine_182_0075,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0007,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_d64c6196f5__layout_top_left_bottom_left,raw_d64c6196f5,dup_exact_c36da4c39cd2,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_d64c6196f5,layout_top_left_bottom_left,gallery/건축/내심낙원/space4_3_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/내심낙원/space4_3_1.jpg,gallery,건축,내심낙원,,,0.047795072197914124,0.2602955400943756,0.2125004678964615,0.7756097316741943,0.024390243902439025,0.014634146341463414,0.03414634146341464,0.014634146341463414,coarse_20_0009,mid_100_0073,fine_182_0126,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0008,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_476995f1f8__layout_top_left_bottom_left,raw_476995f1f8,dup_exact_9c9a9b196a38,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_476995f1f8,layout_top_left_bottom_left,gallery/건축/몽몽미방/사담.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/사담.jpg,gallery,건축,몽몽미방,,,0.04614192247390747,0.2509956955909729,0.20485377311706543,0.5756097435951233,0.43414634146341463,0.3902439024390244,0.47804878048780486,0.3902439024390244,coarse_20_0004,mid_100_0031,fine_182_0175,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0009,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_9d0d132603__layout_top_left_bottom_left,raw_9d0d132603,dup_exact_6e9a8dfc5211,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_9d0d132603,layout_top_left_bottom_left,gallery/건축/유원/space5_4_1.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/유원/space5_4_1.jpg,gallery,건축,유원,,,0.04598882794380188,0.2748461365699768,0.22885730862617493,0.9365853667259216,0.13902439024390245,0.1073170731707317,0.17073170731707318,0.1073170731707317,coarse_20_0015,mid_100_0055,fine_182_0070,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art,review_queue_phase1b_v1__phase1b_indoor_gallery_winter_art_0010,cold_start,clip_high_model_low,phase1b_indoor_gallery_winter_art,phase1b_indoor_gallery_winter_art__raw_a80ee2ac82__layout_top_left_bottom_left,raw_a80ee2ac82,dup_exact_80ace11a46ca,feat_v2_2_1__phase1b_indoor_gallery_winter_art__raw_a80ee2ac82,layout_top_left_bottom_left,gallery/건축/몽몽미방/space7_4_4.jpg,/Users/ksc/python/cap_project/reranker/data/raw/gallery/건축/몽몽미방/space7_4_4.jpg,gallery,건축,몽몽미방,,,0.043808162212371826,0.24923813343048096,0.20542997121810913,0.5365853905677795,0.47317073170731705,0.23414634146341462,0.7121951219512195,0.23414634146341462,coarse_20_0004,mid_100_0031,fine_182_0021,,,,,,1.0,0.0,0.0,0.0,1.0,0.0
